,ts,r_u_going?,gender,age,Country,address, [100 Grand Bar], [Anonymous brown globs that come in black and orange wrappers],candy_rating, [Black Jacks], [Bonkers (the candy)], [Bonkers (the board game)], [Bottle Caps], [Box'o'Raisins], [Broken glow stick], [Butterfinger], [Cadbury Creme Eggs], [Candy Corn], [Candy that is clearly just the stuff given out for free at restaurants], [Caramellos]," [Cash, or other forms of legal tender]", [Chardonnay], [Chick-o-Sticks (we don’t know what that is)], [Chiclets], [Coffee Crisp], [Creepy Religious comics/Chick Tracts], [Dental paraphenalia], [Dots], [Dove Bars], [Fuzzy Peaches], [Generic Brand Acetaminophen], [Glow sticks], [Goo Goo Clusters], [Good N' Plenty], [Gum from baseball cards], [Gummy Bears straight up], [Hard Candy], [Healthy Fruit], [Heath Bar], [Hershey's Dark Chocolate], [Hershey’s Milk Chocolate], [Hershey's Kisses], [Hugs (actual physical hugs)], [Jolly Rancher (bad flavor)], [Jolly Ranchers (good flavor)], [JoyJoy (Mit Iodine!)], [Junior Mints], [Senior Mints], [Kale smoothie], [Kinder Happy Hippo], [Kit Kat], [LaffyTaffy], [LemonHeads], [Licorice (not black)], [Licorice (yes black)], [Lindt Truffle], [Lollipops], [Mars], [Mary Janes], [Maynards], [Mike and Ike], [Milk Duds], [Milky Way], [Regular M&Ms], [Peanut M&M’s], [Blue M&M's], [Red M&M's], [Third Party M&M's], [Minibags of chips], [Mint Kisses], [Mint Juleps], [Mr. Goodbar], [Necco Wafers], [Nerds], [Nestle Crunch], [Now'n'Laters], [Peeps], [Pencils], [Person of Interest Season 3 DVD Box Set (not including Disc 4 with hilarious outtakes)], [Pixy Stix], [Reese’s Peanut Butter Cups], [Reese's Pieces], [Reggie Jackson Bar], [Rolos], [Skittles], [Smarties (American)], [Smarties (Commonwealth)], [Snickers], [Sourpatch Kids (i.e. abominations of nature)], [Spotted Dick], [Starburst], [Sweet Tarts], [Swedish Fish], [Sweetums (a friend to diabetes)], [Tic Tacs], [Those odd marshmallow circus peanut things], [Three Musketeers], [Tolberone something or other], [Trail Mix], [Twix]," [Vials of pure high fructose corn syrup, for main-lining into your vein]", [Vicodin], [Whatchamacallit Bars], [White Bread], [Whole Wheat anything], [York Peppermint Patties],Guess the number of mints in my hand.
545,10/24/2016 13:08:55,No,Male,68,United States,orygun,MEH,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,MEH,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,MEH,DESPAIR,MEH,DESPAIR,JOY,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,JOY,0
546,10/24/2016 13:10:15,No,Female,47,United States,ca,MEH,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,MEH,MEH,JOY,DESPAIR,MEH,MEH,MEH,JOY,MEH,MEH,MEH,DESPAIR,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,JOY,JOY,MEH,MEH,DESPAIR,MEH,JOY,MEH,MEH,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,JOY,MEH,,MEH,MEH,DESPAIR,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,JOY,6
547,10/24/2016 13:11:46,No,Female,29,United States,CA,MEH,DESPAIR,JOY,MEH,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,JOY,MEH,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,MEH,JOY,DESPAIR,JOY,DESPAIR,JOY,MEH,DESPAIR,JOY,JOY,JOY,JOY,MEH,MEH,MEH,MEH,MEH,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY,MEH,MEH,JOY,JOY,DESPAIR,JOY,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,67
548,10/24/2016 13:12:30,No,Male,56,Canada,British Columbia,MEH,MEH,JOY,MEH,MEH,JOY,MEH,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,MEH,MEH,JOY,MEH,JOY,JOY,MEH,MEH,MEH,MEH,JOY,JOY,JOY,JOY,MEH,JOY,MEH,,MEH,MEH,MEH,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,MEH,MEH,JOY,DESPAIR,JOY,MEH,MEH,MEH,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,MEH,MEH,JOY,MEH,JOY,JOY,MEH,JOY,MEH,JOY,MEH,MEH,MEH,MEH,32
549,10/24/2016 13:12:56,No,Male,25,Canada,Alberta,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,JOY,DESPAIR,MEH,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,MEH,MEH,JOY,MEH,JOY,JOY,DESPAIR,MEH,JOY,MEH,JOY,JOY,JOY,JOY,MEH,JOY,MEH,MEH,MEH,MEH,MEH,DESPAIR,JOY,MEH,MEH,JOY,JOY,MEH,JOY,JOY,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,MEH,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,no
550,10/24/2016 13:13:49,No,Female,35,hungary,budapest,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,JOY,MEH,2
551,10/24/2016 13:14:09,No,Female,27,United States,Michigan,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,666
552,10/24/2016 13:16:24,No,Female,32,United States,new york,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,MEH,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,JOY,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,2
553,10/24/2016 13:16:49,No,Female,28,United States,AR,MEH,MEH,JOY,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,JOY,MEH,MEH,JOY,JOY,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,JOY,MEH,JOY,MEH,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,MEH,MEH,DESPAIR,JOY,MEH,JOY,MEH,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,MEH,,JOY,DESPAIR,MEH,MEH,MEH,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,6
554,10/24/2016 13:17:17,No,Male,26,United States,Michigan,MEH,DESPAIR,JOY,MEH,MEH,MEH,JOY,DESPAIR,MEH,JOY,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,MEH,MEH,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,DESPAIR,MEH,MEH,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,MEH,DESPAIR,JOY,JOY,MEH,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,MEH,0
555,10/24/2016 13:17:23,Yes,Male,43,United States,oregon,MEH,DESPAIR,JOY,DESPAIR,MEH,MEH,MEH,MEH,DESPAIR,JOY,DESPAIR,MEH,MEH,MEH,JOY,JOY,MEH,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,MEH,MEH,MEH,JOY,MEH,JOY,DESPAIR,MEH,,DESPAIR,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,,,DESPAIR,MEH,MEH,MEH,JOY,MEH,MEH,DESPAIR,MEH,MEH,,MEH,DESPAIR,MEH,MEH,JOY,MEH,MEH,,MEH,JOY,JOY,,MEH,MEH,MEH,MEH,JOY,JOY,JOY,MEH,MEH,DESPAIR,,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,MEH,JOY,JOY,MEH,MEH,MEH,5
556,10/24/2016 13:17:37,No,Male,38,United States,Michigan ,MEH,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,JOY,MEH,DESPAIR,JOY,MEH,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,JOY,MEH,MEH,MEH,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,3
557,10/24/2016 13:18:43,No,Female,47,United States,Minnesota ,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,JOY,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,5
558,10/24/2016 13:21:03,No,Female,36,Canada,Ontario,JOY,JOY,JOY,MEH,MEH,MEH,DESPAIR,MEH,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,DESPAIR,MEH,JOY,JOY,MEH,JOY,JOY,MEH,JOY,JOY,JOY,MEH,MEH,MEH,JOY,MEH,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,JOY,"12 tic tac sized, or 8 grandpa style"
560,10/24/2016 13:23:59,No,Female,45,canada,ON,JOY,JOY,JOY,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,MEH,JOY,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,MEH,MEH,MEH,MEH,MEH,DESPAIR,MEH,MEH,JOY,MEH,MEH,DESPAIR,MEH,DESPAIR,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,JOY,MEH,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,MEH,JOY,JOY,MEH,DESPAIR,DESPAIR,MEH,4
561,10/24/2016 13:24:22,No,Male,45,United States,va,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
562,10/24/2016 13:27:56,No,Female,37,United States,Illinois,MEH,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,MEH,JOY,MEH,DESPAIR,JOY,JOY,JOY,MEH,MEH,DESPAIR,MEH,MEH,MEH,MEH,MEH,JOY,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,MEH,6
563,10/24/2016 13:35:28,No,Male,26,United States,Minnesota,JOY,DESPAIR,,,,,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,JOY,JOY,,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,JOY,DESPAIR,MEH,DESPAIR,JOY,MEH,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,4
564,10/24/2016 13:36:18,No,Female,36,United States,MO,MEH,MEH,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,JOY,MEH,DESPAIR,MEH,MEH,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,8
565,10/24/2016 13:39:16,No,Male,33,United States,California,JOY,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
566,10/24/2016 13:40:26,Yes,Male,42,United Kingdom,Lancashire,,JOY,JOY,JOY,,,,,DESPAIR,,JOY,MEH,MEH,,JOY,JOY,,,,DESPAIR,DESPAIR,,,,,MEH,,,,,JOY,MEH,MEH,JOY,JOY,JOY,DESPAIR,JOY,JOY,,,,DESPAIR,JOY,JOY,,,MEH,JOY,JOY,MEH,JOY,,,,,JOY,JOY,JOY,JOY,JOY,MEH,MEH,,,,,JOY,MEH,,,,,,MEH,MEH,,,JOY,,JOY,JOY,,MEH,JOY,,,,JOY,,,JOY,MEH,JOY,,,,DESPAIR,DESPAIR,,23
567,10/24/2016 13:42:26,Yes,Male,47,United States,Oregon,JOY,MEH,JOY,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,JOY,MEH,MEH,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,JOY,MEH,DESPAIR,MEH,JOY,MEH,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,MEH,DESPAIR,MEH,MEH,MEH,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,MEH,MEH,JOY,JOY,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,7
568,10/24/2016 13:42:35,No,Female,35,United States,Washington,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,JOY,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,JOY,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,4
